cas_number,goodscents_descriptors,leffingwell_labels,data_source
111-28-4,sweet;musty;vegetable;herbal;nutty;whiskey;green;almond;raw;marzipan,fruity;green;tropical;vegetable,pyrfume (goodscents + leffingwell)
111-80-8,floral;melon;cucumber;violet leaf;green,green;leafy;violet,pyrfume (goodscents + leffingwell)
115-95-7,sweet;lavender;green;bergamot;woody;citrus,citrus;floral;fruity;pear;sweet,pyrfume (goodscents + leffingwell)
116-26-7,metallic;spicy;medicinal;herbal;camphoreous;powdery;phenolic;fresh;tobacco;woody;rosemary,camphoreous;tobacco,pyrfume (goodscents + leffingwell)
116-66-5,sweet;dry;ambrette;powdery;musk,,pyrfume (goodscents + leffingwell)
118-58-1,sweet;clean;herbal;oily;balsam,balsamic;sweet,pyrfume (goodscents + leffingwell)
119-53-9,medicinal;vanilla;camphoreous;balsamic,camphoreous;spicy;sweet,pyrfume (goodscents + leffingwell)
119-84-6,sweet;vanilla;spicy;cinnamon;herbal;coconut;creamy;coumarinic;balsamic;tonka,coumarinic;hay;nutty;sweet;tobacco,pyrfume (goodscents + leffingwell)
120-51-4,sweet;faint;herbal;oily;balsam,balsamic;fruity;sweet,pyrfume (goodscents + leffingwell)
1205-17-0,cyclamen;floral;ozone;fresh;green;watery;hay,floral;green;hay;melon,pyrfume (goodscents + leffingwell)
121-32-4,sweet;vanilla;creamy;caramel,sweet;vanilla,pyrfume (goodscents + leffingwell)
122-03-2,herbal;spicy;cumin;green,green;herbal;pungent,pyrfume (goodscents + leffingwell)
122-39-4,sweet;floral;faint,,pyrfume (goodscents + leffingwell)
122-40-7,sweet;floral;herbal;fruity;oily;powdery;green;jasmin;tropical,floral;jasmine,pyrfume (goodscents + leffingwell)
122-57-6,sweet;spicy;rhubarb;cinnamon;floral;fruity;anisic;creamy;powdery;balsamic;phenolic;jammy,cheesy;coumarinic;creamy;fruity;sweet,pyrfume (goodscents + leffingwell)
122-67-8,,balsamic;cocoa;fruity;peach;sweet;waxy,pyrfume (goodscents + leffingwell)
122-78-1,sweet;fermented;floral;honey;rose;clover;cocoa;powdery;green;earthy;hyacinth;chocolate,floral;green;honey;rose,pyrfume (goodscents + leffingwell)
123-11-5,sweet;floral;powdery;mimosa;hawthorn;balsam,anisic;floral;fruity;hay;herbal;sweet;vanilla,pyrfume (goodscents + leffingwell)
13049-88-2,fleshy;herbal;fruity;pear;green;tropical,citrus;fatty;fresh;fruity;green;melon;waxy,pyrfume (goodscents + leffingwell)
13341-72-5,sweet;spearmint;coconut;powdery;creamy;tobacco;coumarinic;tonka,coconut;coumarinic;sweet,pyrfume (goodscents + leffingwell)
1335-46-2,floral;violet;powdery;woody;orris,floral;oily;orris;sweet;violet;woody,pyrfume (goodscents + leffingwell)
1335-66-6,aldehydic;leafy;herbal;green;woody;earthy,,pyrfume (goodscents + leffingwell)
13706-86-0,sweet;fruity;creamy;brown;buttery;sharp,buttery;oily,pyrfume (goodscents + leffingwell)
138-86-3,camphoreous;herbal;terpenic;citrus,citrus;gasoline,pyrfume (goodscents + leffingwell)
140-11-4,sweet;floral;fruity;fresh;jasmin,floral;fruity;jasmine;sweet,pyrfume (goodscents + leffingwell)
140-67-0,sweet;anise;spicy;herbal;sassafrass;anisic;phenolic;green;minty;fennel,anisic;herbal;sweet,pyrfume (goodscents + leffingwell)
140-88-5,plastic;fruity;acrylate,rum;sharp,pyrfume (goodscents + leffingwell)
141-05-9,,apple;fruity;winey,pyrfume (goodscents + leffingwell)
141-10-6,sweet;dry;spicy;floral;dusty;powdery;balsamic;citrus;waxy,berry;floral;fruity;orris;sweet;tea;woody,pyrfume (goodscents + leffingwell)
145-39-1,sweet;powdery;musk;fatty,,pyrfume (goodscents + leffingwell)
150-76-5,phenolic,anisic;aromatic;sweet,pyrfume (goodscents + leffingwell)
150-84-5,fruit;floral;rose;fruity;green;woody;tropical;citrus,fresh;fruity;rose,pyrfume (goodscents + leffingwell)
1504-74-1,sweet;resinous;spicy;cinnamon;cassia;oily;cinnamyl;paper;woody,spicy;sweet;warm,pyrfume (goodscents + leffingwell)
15323-35-0,sweet;dry;fruity;amber;powdery;musk,,pyrfume (goodscents + leffingwell)
1576-78-9,vegetable;fatty;banana;green;passion fruit;tropical,,pyrfume (goodscents + leffingwell)
1604-28-0,sweet;spicy;cinnamon;weedy;herbal;coconut;cooling;green;woody,cinnamon;nutty;spicy,pyrfume (goodscents + leffingwell)
16251-77-7,herbal;hyacinth;foliage;green,,pyrfume (goodscents + leffingwell)
16587-71-6,dry;camphoreous;woody;earthy;orris,camphoreous;orris;woody,pyrfume (goodscents + leffingwell)
1669-44-9,sweet;spicy;mushroom;blueberry;herbal;oily;earthy;hay;ketonic,earthy;fruity;mushroom,pyrfume (goodscents + leffingwell)
17369-59-4,,herbal;spicy;warm,pyrfume (goodscents + leffingwell)
17373-89-6,spicy;warm;floral;fruity;jasmin,floral;fruity;green;herbal;jasmine,pyrfume (goodscents + leffingwell)
17488-65-2,,balsamic;floral;fruity;sweet,pyrfume (goodscents + leffingwell)
18127-01-0,sweet;cyclamen;floral;fresh;watery,,pyrfume (goodscents + leffingwell)
18318-83-7,apple;fruity,apple;fruity;green,pyrfume (goodscents + leffingwell)
18485-38-6,fruity;green;waxy,chicken;fatty,pyrfume (goodscents + leffingwell)
2111-75-3,sweet;lime;spicy;cinnamon;pungent;herbal;clove;grassy;fresh;orange;green;minty;cumin;citrus,fatty;herbal;spicy,pyrfume (goodscents + leffingwell)
2120-70-9,leafy;cortex;ozone;fresh;green;hyacinth;leathery,aldehydic;floral;fresh;green;sweet;woody,pyrfume (goodscents + leffingwell)
23726-93-4,sweet;rose;honey;fruity;apple;tobacco,,pyrfume (goodscents + leffingwell)
2442-10-6,herbal;fruity;oily;lavender;fresh;green;earthy,fresh;fruity;herbal;mushroom,pyrfume (goodscents + leffingwell)
2445-83-2,sweet;coconut;powdery;coumarinic;tonka,,pyrfume (goodscents + leffingwell)
2463-63-0,fatty;green,apple;fatty;fresh;fruity;green;pungent;sweet;vegetable,pyrfume (goodscents + leffingwell)
2550-11-0,fruity;fresh;citrus;bitter;grapefruit,citrus;fresh;fruity;grapefruit,pyrfume (goodscents + leffingwell)
2550-52-9,powdery;animal;musk,,pyrfume (goodscents + leffingwell)
25564-22-1,floral;woody;tuberose;jasmin,floral;fruity;jasmine,pyrfume (goodscents + leffingwell)
2563-07-7,guaiacol;vanilla;spicy;woody,,pyrfume (goodscents + leffingwell)
2705-87-5,sweet;fruity;pineapple;candy;tropical;waxy,fruity;pineapple;sweet,pyrfume (goodscents + leffingwell)
27538-09-6,sweet;caramellic;maple;burnt;bready;sugar brown sugar,bread;caramellic;fruity;sweet,pyrfume (goodscents + leffingwell)
2785-87-7,sweet;spicy;allspice;powdery;phenolic;clove;sharp,balsamic;spicy;sweet,pyrfume (goodscents + leffingwell)
2986-54-1,dry;cedar;amber;tobacco;patchouli;woody;musk,,pyrfume (goodscents + leffingwell)
31906-04-4,cyclamen;rhubarb;floral;muguet;woody,aldehydic;floral;woody,pyrfume (goodscents + leffingwell)
33204-74-9,minty;spearmint,mint,pyrfume (goodscents + leffingwell)
33704-61-9,spicy;rich;clean;woody;musk,,pyrfume (goodscents + leffingwell)
35154-45-1,dirty;floral;fruity;pineapple;apple green apple;fresh;green;tropical,apple;fruity;green,pyrfume (goodscents + leffingwell)
3658-77-3,sweet;cotton candy;caramellic;strawberry;savory;burnt;brown;sugar brown sugar,caramellic;fruity;pineapple;roasted;strawberry,pyrfume (goodscents + leffingwell)
41270-80-8,grape;fruity,fruity;grape;musty,pyrfume (goodscents + leffingwell)
41448-29-7,,citrus;fresh;fruity;herbal;lemon,pyrfume (goodscents + leffingwell)
4360-47-8,spicy;cinnamon;cassia,,pyrfume (goodscents + leffingwell)
4602-84-0,sweet;linden;floral;fresh;mild;angelica,floral;oily;sweet,pyrfume (goodscents + leffingwell)
4674-50-4,sweet;grapefruit peel;peely;orange;citrus;woody;grapefruit;gardenia,citrus;grapefruit,pyrfume (goodscents + leffingwell)
4748-78-1,sweet;anise;almond bitter almond;fruity;cherry,almond;anisic;cherry;green;herbal,pyrfume (goodscents + leffingwell)
475-20-7,sweet;medicinal;rose;fir needle;woody,camphoreous;sweet;woody,pyrfume (goodscents + leffingwell)
507-70-0,camphoreous;woody;pine;balsamic,camphoreous;mint;sharp;woody,pyrfume (goodscents + leffingwell)
51154-96-2,sweet;coconut;creamy;milky;waxy;lactonic,,pyrfume (goodscents + leffingwell)
515-03-7,,odorless,pyrfume (goodscents + leffingwell)
515-69-5,floral;peppery;clean;balsamic,,pyrfume (goodscents + leffingwell)
529-20-4,cherry,almond;cherry;sweet,pyrfume (goodscents + leffingwell)
531-59-9,sweet;balsamic;tonka,,pyrfume (goodscents + leffingwell)
536-60-7,spicy;herbal;leathery;cumin;caraway,oily;spicy,pyrfume (goodscents + leffingwell)
5392-40-5,lemon;sweet;sharp,citrus;fresh;fruity;lemon,pyrfume (goodscents + leffingwell)
5406-12-2,floral;lily;heliotrope;lilac,,pyrfume (goodscents + leffingwell)
542-46-1,dry;sweet;animal;clean;musk,animal;musk;sweet,pyrfume (goodscents + leffingwell)
544-63-8,fatty;pineapple;coconut;citrus peel;soapy;waxy,odorless;oily;waxy,pyrfume (goodscents + leffingwell)
54464-57-2,dry;ambergris;cedar;woody old wood;phenolic;woody;ketonic,,pyrfume (goodscents + leffingwell)
546-80-5,cedar;thujonic,,pyrfume (goodscents + leffingwell)
5462-06-6,sweet;anise;basil;anisic;raspberry;green;fennel,,pyrfume (goodscents + leffingwell)
5471-51-2,sweet;seedy;ripe;berry;floral;jammy;raspberry;woody,fruity;sweet,pyrfume (goodscents + leffingwell)
5502-75-0,clean;magnolia;floral;grassy;fresh;muguet;cumin,,pyrfume (goodscents + leffingwell)
56973-85-4,weedy;fruity;pineapple;galbanum;fresh;green;narcissus;earthy;hyacinth,,pyrfume (goodscents + leffingwell)
57-06-7,mustard;pungent;sulfurous,pungent,pyrfume (goodscents + leffingwell)
58567-11-6,dry;ambergris;cedar;dusty;amber;woody,,pyrfume (goodscents + leffingwell)
589-18-4,floral;mild,balsamic;green;leafy;rose;sweet,pyrfume (goodscents + leffingwell)
5989-27-5,,citrus;fresh;gasoline;orange;sweet,pyrfume (goodscents + leffingwell)
60-12-8,sweet;rose dried rose;floral;rose;honey;bready;fresh,floral;rose,pyrfume (goodscents + leffingwell)
60763-41-9,aldehydic;floral;fruity;green;ethereal;jasmin,floral;green;jasmine;leafy,pyrfume (goodscents + leffingwell)
623-43-8,fruity;green;sharp,fruity;green;sharp,pyrfume (goodscents + leffingwell)
6259-76-3,herbal;orchid;fresh;green,balsamic;floral;fruity;hay;herbal;spicy,pyrfume (goodscents + leffingwell)
65113-99-7,cedar;greasy;creamy;sandalwood;woody;waxy,,pyrfume (goodscents + leffingwell)
65505-24-0,grape;fruity;grapefruit,citrus;floral;fruity;sweet,pyrfume (goodscents + leffingwell)
6658-48-6,greasy;marine;floral;oily;muguet;balsamic;green;lily;tropical,,pyrfume (goodscents + leffingwell)
6728-26-3,aldehydic;clean;spicy;leafy;fatty;banana;herbal;fruity;fresh;green;cheesy;sharp,,pyrfume (goodscents + leffingwell)
67633-96-9,natural;leafy;floral;violet;apple;green;waxy,green;violet,pyrfume (goodscents + leffingwell)
67746-30-9,dry;spicy;fatty;peppery;rooty;fruity;green;celery;caraway,,pyrfume (goodscents + leffingwell)
67801-33-6,sweet;herbal;weedy;fresh;green;earthy,,pyrfume (goodscents + leffingwell)
6790-58-5,sweet;dry;ambergris;tea;cedar;seedy;amber;labdanum;green;woody;pine,,pyrfume (goodscents + leffingwell)
68480-15-9,floral;minty;earthy;leathery,floral;mint;woody,pyrfume (goodscents + leffingwell)
68527-77-5,spicy;floral;herbal;carnation;green;woody,,pyrfume (goodscents + leffingwell)
700-82-3,coumarinic;coconut;tonka,,pyrfume (goodscents + leffingwell)
70788-30-6,dry;amber;powdery;sandalwood;sawdust;woody,,pyrfume (goodscents + leffingwell)
71077-31-1,aldehydic;magnolia;floral;muguet;lily,,pyrfume (goodscents + leffingwell)
74338-72-0,sweet;petitgrain;herbal;sage clary sage;bergamot;tropical;citrus,,pyrfume (goodscents + leffingwell)
7492-44-6,,floral;fruity;green;herbal;jasmine,pyrfume (goodscents + leffingwell)
7493-74-5,sweet;cocoa;honey;fruity;pineapple;chamomile;fresh,fruity;honey;pineapple;sweet,pyrfume (goodscents + leffingwell)
764-40-9,fruity,green;pungent;spicy,pyrfume (goodscents + leffingwell)
78-59-1,sweet;musty;fruity;cooling;camphoreous;tobacco;cedarwood;green;woody;leathery,camphoreous;green;honey;mint;sharp;sweet;tobacco,pyrfume (goodscents + leffingwell)
78-70-6,sweet;blueberry;floral;rose;bois;green;woody;de;citrus,citrus;floral;woody,pyrfume (goodscents + leffingwell)
80-54-6,floral;powdery;muguet;green;watery;cumin,floral;fresh;green,pyrfume (goodscents + leffingwell)
80-62-6,fruity;acrylate;aromatic,apple;fruity;grape;sharp,pyrfume (goodscents + leffingwell)
81-14-1,dry;fatty;floral;powdery;soapy;musk,,pyrfume (goodscents + leffingwell)
81-15-2,dry;sweet;fatty;soapy;musk,,pyrfume (goodscents + leffingwell)
83-66-9,sweet;musty;seedy;ambrette;musk,floral;musk;sweet,pyrfume (goodscents + leffingwell)
85-91-6,sweet;musty;wine;fruity;powdery;phenolic;neroli,floral;musty;orange;sweet,pyrfume (goodscents + leffingwell)
86803-90-9,aldehydic;magnolia;marine;floral;seashore;ozone;fresh;mossy;watery;woody,,pyrfume (goodscents + leffingwell)
87-05-8,nutty;walnut,coumarinic,pyrfume (goodscents + leffingwell)
88-29-9,sweet;ambrette;musk,,pyrfume (goodscents + leffingwell)
88642-03-9,powdery;balsamic;clean;musk,,pyrfume (goodscents + leffingwell)
91-22-5,musty;rubbery;medicinal;tobacco;earthy;leathery,animal;musty;sweet;tobacco,pyrfume (goodscents + leffingwell)
91-61-2,ambergris;animal;civet;leathery,animal;honey;leathery;sweet,pyrfume (goodscents + leffingwell)
91-64-5,sweet;hay;new mown hay;tonka,,pyrfume (goodscents + leffingwell)
91-87-2,,floral;green;jasmine,pyrfume (goodscents + leffingwell)
92-48-8,sweet;vanilla;floral;coconut;powdery;creamy;cinnamyl;coumarinic;earthy;tonka,coconut;coumarinic,pyrfume (goodscents + leffingwell)
93-08-3,sweet;floral;honey;powdery;neroli;orangeflower,orange;sweet,pyrfume (goodscents + leffingwell)
93-15-2,sweet;musty;vegetable;spicy;warm;cinnamon;peppery;phenolic;fresh;carnation;clove;waxy,herbal;musty;spicy;tea,pyrfume (goodscents + leffingwell)
93-29-8,sweet;spicy;floral;powdery;carnation;balsam,balsamic;floral;fruity;spicy,pyrfume (goodscents + leffingwell)
93-51-6,sweet;vanilla;spicy;medicinal;smoky;burnt;phenolic;candy;woody;clove;leathery,phenolic;smoky;spicy;sweet;vanilla,pyrfume (goodscents + leffingwell)
93-53-8,leafy;lilac;fresh;green;hyacinth;sharp,floral;green;honey,pyrfume (goodscents + leffingwell)
93-99-2,tar;phenolic;coal,balsamic;floral;fruity;green;metallic,pyrfume (goodscents + leffingwell)
93893-89-1,cinnamon;floral;rose;fruity;lemongrass;balsamic;citrus,,pyrfume (goodscents + leffingwell)
94-59-7,sweet;anise;spicy;warm;floral;sassafrass;woody,aromatic;spicy,pyrfume (goodscents + leffingwell)
94-86-0,sweet;vanilla;spicy;powdery;tobacco;phenolic;woody,phenolic;vanilla,pyrfume (goodscents + leffingwell)
97-42-7,sweet;rummy;spicy;nasturtium;spearmint;grape;herbal;fruity;pear;green;minty,fruity;green;herbal;sour;sweet,pyrfume (goodscents + leffingwell)
97-53-0,sweet;spicy;bacon;cinnamon;savory;allspice;phenolic;ham;woody;clove,dry;pungent;smoky;spicy,pyrfume (goodscents + leffingwell)
97-54-1,sweet;spicy;floral;allspice;carnation;woody;clove,,pyrfume (goodscents + leffingwell)
98-00-0,sweet;musty;estery;sulfurous;caramellic;coffee;bready;brown;chemical;alcoholic,,pyrfume (goodscents + leffingwell)
98-01-1,sweet;caramellic;bready;bread baked;brown;phenolic;almond;woody,almond;bread;caramellic;spicy;sweet,pyrfume (goodscents + leffingwell)
98-54-4,oakmoss;leathery,leathery;phenolic,pyrfume (goodscents + leffingwell)
98-55-5,terpene;lilac;floral;woody;pine;citrus,floral;sweet,pyrfume (goodscents + leffingwell)
99-49-0,minty;licorice,,pyrfume (goodscents + leffingwell)
